"Thai","Vietnamese","POS_Tags_Thai"
"*ꪎꪲꪚ ꪚꪱꪒ ꪝ꫁ꪱ ꪹꪚ꪿ꪱ ꪕꪷ꪿ ꪬ꫁ꪱ ꪚꪱꪒ ꪄꪫꪱꪙ","mười nhát dao không bằng năm nhát rìu","VN d. cxđ. p. k. cxđ. d. d."
"ꪑ꪿ꪱꪉ ꪼꪜ ꪎꪮꪉ ꪚꪱꪒ","bước đi hai bước","cxđ. cxđ. đg. d."
"ꪣꪲꪒ ꪚꪱꪒ ꪣꪳ","dao đứt tay","cxđ. d. t."
"ꪬꪱꪚ ꪹꪚꪱ","gánh nhẹ","d. t."
"ꪼꪜ ꪩ꫁ꪱ ꪹꪚꪱ ꪚꪱꪉ","đi không nhẹ nhõm","cxđ. đg. t."
"ꪵꪣ꪿ ꪙ꫁ꪮꪥ ꪹꪚꪱ ꪄꪤꪮꪉ","con bé nhẹ tênh","cxđ. t."
"ꪬꪷ꪿ ꪁꪺꪙ ꪹꪚꪱ ꪯꪥꪮꪒ","bao thuốc nhẹ bỗng","cxđ. d. t."
"ꪹꪚ꪿ꪱ ꪹꪥꪸꪒ ꪮꪮꪀ ꪹꪚꪱ ꪶꪖꪉ","không làm ra nhẹ túi","p. cxđ. đg. t."
"ꪀꪲꪙ ꪤꪱ ꪻꪎ꪿ ꪹꪬꪸꪙ ꪹꪚꪱ ꪶꪔ","uống thuốc vào thấy nhẹ người","d. cxđ. cxđ. đg. t."
"ꪹꪚ꪿ꪱ ꪣꪲ ꪹꪥꪸꪒ ꪨꪷ꫁ ꪹꪚ꪿ꪱ ꪣꪲ ꪀꪲꪙ","không làm thì chẳng có ăn","p. đg. cxđ. cxđ. p. đg. d."
"ꪀꪲꪙ ꪙ꫁ꪮꪥ ꪹꪚ꪿ꪱ ꪮꪱꪥ ꪎꪰꪉ","ăn ít chẳng bõ","d. d. p."
"ꪫ꪿ꪱ ꪹꪋꪸ꫁ꪙ ꪵꪕ꫁ ꪹꪚ꪿ꪱ ꪹꪁ꫁ꪱ","nếu như thế thì không chơi","t. cxđ. p."
"ꪹꪚ꪿ꪱ ꪋ꪿ꪮꪥ ꪵꪕ꫁ ꪹꪚ꪿ꪱ ꪊꪺꪚ","không giúp thì đừng hòng!","p. cxđ. cxđ. p."
"ꪚ꫁ꪱꪙ ꪹꪣꪉ ꪋ꪿ꪽ ꪹꪚ꪿ꪱ ꪋꪳ꪿ ꪙ꫁ꪮꪥ","bản mường đẹp vô cùng","d. t. p."
"ꪹꪚ꪿ꪱ ꪁꪷ꫁ ꪹꪭꪱ ꪝ꫁ꪮꪣ ꪀꪽ ꪹꪥꪸꪒ","hay là chúng ta cùng nhau làm","p. đg. cxđ. d. cxđ."
"ꪹꪚ꪿ꪱ ꪹꪭꪸ ꪹꪋ꪿ ꪼꪒ꫁","chưa thể tin được được","d. cxđ. t."
"ꪹꪚ꪿ꪱ ꪹꪭꪸ ꪹꪬꪸꪙ ꪎꪰꪀ ꪹꪕ꪿","chưa hề thấy bao giờ","d. đg. cxđ. cxđ."
"ꪖ꫁ꪱ ꪣꪽ ꪣꪱ ꪹꪚ꪿ꪱ ꪹꪭꪸ ꪮ꪿ꪱꪫ","chờ nó về còn mệt","đg. d. đg. kng."
"ꪖ꫁ꪱ ꪵꪎ ꪹꪚ꪿ꪱ ꪹꪭꪸ ꪉ꪿ꪱꪥ","chờ xe còn khướt","đg. đg. kng."
"ꪒꪱꪉ ꪼꪜ ꪹꪚ꪿ꪱ ꪹꪬꪸꪙ ꪜꪲ꫁ꪙ","đang đi mất hút","cxđ. cxđ. đg."
"ꪹꪚ꪿ꪱ ꪬ꪿ꪮꪙ ꪹꪥꪸꪒ ꪼꪒ꫁","không thể làm được","p. cxđ. t."
"ꪹꪚ꪿ꪱ ꪩꪮꪙ ꪹꪋꪸ꫁ꪙ ꪼꪒ꫁","không thể thế được","p. p. t."
"ꪖ꫁ꪱ ꪣꪽ ꪹꪚ꪿ꪱ ꪻꪙ ꪭꪳ","chờ nó còn mệt xác","đg. d. p."
"ꪙꪱꪉ ꪎꪱꪫ ꪹꪚ꪿ꪱ ꪉ꪿ꪱꪥ","tiểu thư kênh kiệu","cxđ. đg."
"*ꪩꪴꪀ ꪹꪚ꪿ꪱ ꪹꪜꪸꪙ ꪝꪷ꪿ ꪵꪣ꪿ ꪜꪱꪀ ꪼꪒ꫁","con hư cha mẹ nói nhiều","VN t. cxđ. cxđ."
"ꪹꪚ꪿ꪱ ꪫ꪿ꪱ ꪹꪀꪷꪚ ꪻꪒ","chẳng cứ cấp nào","p. đg. đ."
"ꪹꪚ꪿ꪱ ꪎꪰꪉ ꪣꪽ ꪁꪷ꫁ ꪝꪷ ꪀꪲꪙ","chẳng gì nó cũng đủ ăn","tr. d. p. cxđ. d."
"ꪹꪚ꪿ꪱ ꪎꪴꪒ ꪕꪷ꪿ ꪀꪲꪙ ꪑꪰꪉ ꪣꪲ ꪙꪴ꪿ꪉ ꪻꪢ꪿","chẳng những có ăn mà cò mặc nữa","k. d. cxđ. đg. cxđ. d."
"ꪹꪛꪱ ꫛ ꪹꪄ꫁ꪱ ꪶꪭ꫁ꪥ ꪶꪓ꪿ꪉ","bầu người vào hội đồng","đg. d. đg. cxđ. UNK"
"ꪻꪚ ꪼꪣ꫁","lá cây","d. d."
"ꪻꪚ ꪚ꪿ꪱꪫ","tờ báo","d. d."
"ꪠ꫁ꪱꪥ ꪵꪄꪫ ꪻꪚ ꪀ꫁ꪱ","vải xanh lá mạ","d. t. d."
"ꪀꪷ ꪎꪰꪀ ꪻꪋ ꪻꪚ ꪎ꫁ꪮꪥ","cây lá xả lá kim","d. cxđ. cxđ. d."
"ꪻꪚ꫁ ꪨꪱꪥ ꪹꪚ꪿ꪱ ꪹꪜꪸꪙ ꫛ","đần quá không nên người","t. cxđ. t. d."
"ꪜꪱꪀ ꪹꪫ꫁ꪱ ꪻꪚ꫁ ꪋ꫁ꪱ","ăn nói ngu đần","đg. UNK t."
"ꪹꪙ꫁ ꫛ ꪻꪚ꫁ ꪨꪴ꪿","vẻ người khù khờ","đg. d. t."
"ꪝꪸ꫁ꪙ ꪻꪚ꫁ ꪮ꪿ꪮꪙ","giả vờ ngây ngô","cxđ. t. t."
"ꪀꪷ ꪼꪚ","cây trám đen","d. d."
"ꪼꪚ꪿ ꪹꪢꪸꪒ ꪣꪳ꫁","làm nhàm cả ngày","đg. cxđ. đg."
"ꪵꪣ꪿ ꪑꪲꪉ ꪼꪚ꪿ ꪼꪒ꫁","đàn bà lắm điều","cxđ. t."
"ꪼꪚ꫁ ꪹꪭꪱ ꪹꪭꪙ ꪜꪺ","tâu lên nhà vua","đg. cxđ."
"ꪼꪜ ꪼꪛ ꪣꪸ","đi dạm vợ","cxđ. đg. cxđ."
"ꪋ꪿ꪱꪉ ꪼꪛ","khéo tán","cxđ. đg."
"ꪋ꪿ꪱꪉ ꪄꪾꪚ ꪼꪛ","khéo hát lượn","cxđ. đg. đg."
"ꪼꪛ ꪁ꪿ꪱ ꪶꪔ ꪢꪴ","mặc cả con lợn","đg. t. d."
"ꪼꪛ ꪮꪲ꫁ꪙ ꪠꪴ꫁ ꪎꪱꪫ","tán tỉnh con gái","đg. cxđ."
"ꪚꪰꪀ ꪁꪾ ꫜ","một đồng cân vàng","d. d. đg."
"ꪚꪰꪀ ꪅꪰꪀ","đánh bậc","d. t."
"ꪚꪰꪀ ꪮꪮꪀ","bịa chuyện","d. đg."
"ꪫꪸꪀ ꪚꪰꪀ ꪚꪮꪙ ꪮꪮꪀ","chuyện bịa đặt ra","d. đg. đg."
"ꪚꪰꪀ ꪚꪮꪙ ꪁꪫꪱꪣ ꪄꪾꪚ","sáng tác bài hát","đg. cxđ."
"ꪚꪰꪀ ꪚ꪿ꪮꪉ ꪹꪎꪱ ꪹꪭꪙ","đục đẽo cột nhà","đg. cxđ. d."
"ꪚꪰꪀ ꪹꪄ꫁ꪱ ꪘ꫁ꪱ ꪠꪴ꫁ ꪊꪱꪙ ꪮ꪿ꪱꪀ","vạch mặt kẻ gian ác","đg. cxđ. t. t."
"ꪚꪰꪀ ꪩ꫁ꪱ ꪔꪱ ꪒꪱꪥ","vua oan giá họa","đg. d. d."
"ꪼꪜ ꪀꪱꪥ ꪚꪰꪀ ꪫꪾ꫁ ꪝꪴ","đi qua hỏ núi","cxđ. t. d. cxđ."
"ꪚꪾ꪿ ꪵꪜꪀ ꪹꪜꪸꪙ ꪚ꫁ꪱ","lảm nhảm như điên","đg. p. t. d."
"ꪚꪾ꪿ ꪹꪚ ꪹꪕꪸꪉ ꪣꪳ꫁","lầm bầm suốt ngày","đg. cxđ. đg."
"ꪹꪒꪸ꪿ꪀ ꪙ꫁ꪮꪥ ꪀꪲꪙ ꪚꪾ꪿ ꪹꪚ","trẻ con ăn bừa mứa","cxđ. d. đg."
"ꪚꪾ꪿ ꪨꪺ ꪹꪥꪸꪒ ꪎꪮꪉ ꪵꪄ꪿ꪫ","chặt củi làm hai đoạn","đg. cxđ. cxđ. đg. d."
"ꪚ꫁ꪽ ꪣꪽ ꪶꪈ","củ khoai lang","d. cxđ."
"ꪚ꫁ꪽ ꪄꪲ꫁","cục phân","d. d."
"ꪚꪰꪬ ꪚ꪿ꪮꪙ ꪙꪮꪙ","quây chỗ ngủ","UNK d. cxđ."
"ꪜꪺ ꪚꪰꪉ ꪚꪸ꪿ꪙ","vua băng hà","cxđ. đg."
"ꪚꪰ꫁ꪉ ꪼꪣ꫁ ꪭꪸ꫁","ống nứa","d. d. cxđ."
"ꪚꪰ꫁ꪉ ꪹꪭ","con thuyền","d. cxđ."
"ꪙꪾ꫁ ꪼꪨ ꪚꪰ꫁ꪉ ꪚꪰ꫁ꪉ","nước chảy băng băng","đg. cxđ. p."
"ꪐ꫁ꪽ ꪛꪰꪉ","nhận bằng","cxđ. d."
"*ꪎꪴꪒ ꪀ꪿ꪱꪙ ꪣ꪿ꪱꪙ ꪛꪰꪉ","trướng rủ màn che","VN d. d. d."
"ꪋꪴ꪿ ꪚ꪿ꪮꪙ ꪋꪴ꪿ ꪛꪰꪉ ꪻꪎ","khắp nơi rực sáng","cxđ. d. cxđ. đg."
"ꪚꪾꪚ ꪎꪸ ꪶꪔ ꪡ꫁ꪱꪥ ꪙꪳ꪿ꪉ","thí đi một con bài","đg. t. t. đg. .cxđ"
"ꪚꪾꪚ ꪕꪱꪉ ꪜꪱꪥ ꪹꪎꪱ","chặt bớt đằng ngọn cột","đg. cxđ. d. cxđ."
"ꪚꪰꪒ ꪘꪰ꫁ꪉ ꪖꪾ꫁","ẩn trong hang, lẩn trong hang","đg. cxđ. cxđ."
"ꪚꪰꪒ ꪩꪲ꫁ ꪀꪺꪉ ꪜ꪿ꪱ","ẩn náu trong rừng","đg. d. d."
"ꪚꪰꪒ ꪙꪲ ꪀꪱꪥ ꪵꪭ ꪵꪩ꫁ꪫ ꪣꪺ ꪖꪴ ꪣꪱ ꪭꪮꪒ","giờ đây hè qua thu tới","đ. t. cxđ. cxđ. d. cxđ. đg. .ctxđ"
"ꪎ꫁ꪺꪉ ꪹꪎ꫁ ꪛꪥꪳ꫁ ꪛꪥꪰ꪿ꪉ","quần áo nhếch nhác","cxđ. t."
"ꪵꪯ ꪙ꫁ꪮꪥ ꪙꪮꪙ ꪵꪚ ꪘꪰ꫁ꪉ ꪮꪴ꪿","bé nằm ngửa trên nôi","cxđ. cxđ. đg. cxđ. cxđ."
"ꪵꪣ꪿ ꪙ꫁ꪮꪥ ꪙꪮꪙ ꪵꪚ ꪵꪩꪉꪒ","em bé nằm tênh hênh","cxđ. cxđ. t."
"ꪵꪚ꫁ ꪶꪝꪀ","dê sồm","d. UNK"
"ꪼꪜ ꪵꪚꪀ ꪼꪣ꫁","đi vác cây","cxđ. đg. d."
"ꪢ꫁ꪺꪥ ꪚꪰ꫁ꪉ ꪵꪝ ꪣꪲ ꪬ꫁ꪱ ꪵꪚꪀ","mỗi chiếc bè có năm bịn","cxđ. d. d. đg. cxđ. đg."
"ꪵꪚ꫁ ꪭ꫁ꪮꪉ ꪵꪛꪀ ꪵꪛꪀ","dê kêu be be","d. đg. d."
"ꪵꪚꪣ ꪪꪱꪥ","chiết mây","d. cxđ."
"ꪚ꫁ꪱ ꪙ꫁ꪮꪥ ꪵꪚꪙ ꪹꪭꪸ꪿ꪉ","thằng bé nghịch lắm","d. d. t. cxđ."
"ꪢꪴ ꪵꪚꪙ ꪎꪺꪙ","lợn phá vườn","d. t. cxđ."
"ꪹꪒꪸ꪿ꪀ ꪙ꫁ꪮꪥ ꪵꪚꪙ ꪣꪳ","trẻ con tinh nghịch","cxđ. t."
"ꪐ꫁ꪱꪣ ꪹꪅꪷꪥ ꪵꪚꪙ ꪣꪳ","quen thói tắt mắt","cxđ. t."
"ꪵꪚꪙ ꪶꪎꪚ ꪹꪚ꪿ꪱ ꪒꪲ","gây chuyện không hay","đg. p. d."
"ꪵꪚ꪿ꪙ ꪶꪮ꪿ꪉ","bắn súng","đg. d."
"ꪵꪚ꪿ꪙ ꪀꪮꪚ ꪣꪴ꫁ ꪻꪬ꫁ ꪶꪣꪙ","chấn vành mũ cho tròn","đg. d. d. cxđ. d."
"ꪵꪚ꫁ꪙ ꪵꪭ꫁ꪫ ꪔꪮꪒ","chốt có khấc của bẫy cần","d. cxđ."
"* ꪶꪎꪚ ꪵꪚ꫁ꪫ ꪁꪱꪉ ꪋ꫁ꪱꪥ","méo mồm méo miệng","SYM đg. t. d. cxđ."
"ꪵꪚ꫁ꪫ ꪹꪩ ꪝꪲ꪿ ꪙ꫁ꪮꪉ","lừa dối anh em","đg. cxđ."
"ꪵꪚ꫁ꪫ ꪫ꪿ꪱ ꪩ꫁ꪱ ꪼꪜ ꪖꪱꪣ ꪹꪚꪷ꪿ꪉ","nếu không tin thì đi hỏi xem","k. cxđ. cxđ. đg."
"ꪢꪱꪀ ꪚ꪿ꪮꪉ ꪵꪏꪚ","quả bóng xẹp","cxđ. đg. UNK"
"ꪨ꫁ꪱ ꪵꪚꪒ","thứ bét","d. t."
"ꪹꪚꪸ꫁ ꪙꪾ꫁","bể nước","d. đg."
"ꪭꪲꪣ ꪙꪾ꫁ ꪹꪚꪸ꫁","bờ biển","d. d."
"ꪶꪩ꫁ꪣ ꪹꪛꪸ꫁ꪀ ꪹꪛꪸ꫁ꪀ","ngã oành oạch","cxđ. t."
"ꪼꪬ꫁ ꪹꪛꪸ꫁ꪀ ꪹꪛꪸ꫁ꪀ","khóc sướt mướt","đg. t."
"ꪣꪴ꫁ ꪹꪚꪸ꫁ꪣ ꪶꪩꪉ","mũ bẹp xuống","d. t. cxđ."
"ꪒꪲꪙ ꪹꪚꪸ꫁ꪣ ꪶꪩꪉ","đất lõm xuống","d. t. cxđ."
"ꪻꪚ ꪀꪴꪚ ꪹꪚꪸ꫁ꪣ ꪹꪚꪸꪀ","chiếc nón bẹp dúm","d. d. t."
"ꪢꪱꪀ ꪚ꪿ꪮꪉ ꪹꪚꪸ꫁ꪣ ꪹꪛꪸꪭ꫁","quả bóng bẹp gí","cxđ. đg. t."
"ꪹꪚꪸꪉ ꪜꪴꪣ","chướng bụng; đầy bụng","t. cxđ."
"ꪢꪱꪀ ꪖ꪿ꪺ ꪵꪋ꪿ ꪙꪾ꫁ ꪹꪚꪸꪉ ꪮꪮꪀ","đậu ngâm nước trương lên","cxđ. cxđ. đg. t. đg."
"ꪼꪜ ꪵꪒꪒ ꪹꪙ꫁ ꪘꪰ ꪹꪚꪸꪉ ꪮꪮꪀ","đi nắng da thị căng ra","cxđ. đg. đg. UNK t. đg."
"ꪘ꫁ꪱ ꪹꪚꪸꪉ","bì mặt","đg. t."
"ꪹꪚꪸ꪿ꪉ ꪩꪴꪀ","rặn đẻ","đg. cxđ."
"ꪹꪛꪸ꫁ꪉ ꪹꪊꪸꪚ ꪔꪱ","bệnh đau mắt","d. cxđ. d."
"ꪜꪱꪀ ꪹꪛꪸ꫁ꪉ ꪹꪛꪸ꫁ꪉ","nói ra rả","đg. t."
"ꪠ꫁ꪱꪉ ꪡꪮꪉ ꪹꪛꪸ꫁ꪉ ꪙ꫁ꪱꪫ","phòng ngừa bệnh tật","cxđ. d."
"ꪹꪚꪸꪚ ꪼꪬ꫁","khóc mếu","d. đg."
"ꪹꪊꪸꪚ ꪨꪱꪥ ꪘ꫁ꪱ ꪹꪚꪸꪚ ꪹꪚꪸ꫁","đau quá mặt mếu máo","cxđ. cxđ. đg. đg."
"ꪹꪚꪸꪒ ꪁꪽ ꪹꪚꪸꪒ","uốn cần câu","d. d."
"ꪶꪡꪒ ꪹꪛꪸꪒ ꪹꪛꪸꪒ","sôi lệt xệt","cxđ. t."
"ꪎꪸꪉ ꪜꪱꪀ ꪹꪛꪸꪒ ꪹꪛꪸꪒ","giọng nói ồ ề","cxđ. đg. t."
"ꪕꪴꪚ ꪹꪭꪙ ꪹꪛꪸꪭ꫁ ꪶꪩꪉ","chái đã sụm xuống","cxđ. d. t. cxđ."
"ꪘ꫁ꪱ ꪄꪱꪫ ꪡꪮꪉ ꪚꪬ꪿ꪮꪥ","mặt tươi roi rói","đg. t. t."
"ꪹꪙ꫁ ꪘꪰꪉ ꪚꪬ꪿ꪮꪉ","da dẻ đỏ đắn","cxđ. t."
"ꪹꪙ꫁ ꪘꪰꪉ ꪶꪚꪬ꪿ꪉ","nước da mơn mởn","cxđ. t."
"ꪹꪬꪸꪙ ꫛ ꪹꪚꪷꪬꪉ ꪛꪭꪱꪥ ꪔ꪿ꪮꪙ ꪘ꫁ꪱ","thấy người ẩn hiện trước mặt","đg. d. đg. cxđ."
"ꪹꪤꪸꪙ ꪼꪝ꪿ ꪹꪚꪷꪬꪉ ꪹꪛꪷꪭ","nhân dân hoang mang","d. cxđ. đg."
"* ꪔꪾꪚ ꪻꪐ꪿ ꪚꪲ ꪨꪺꪉ","to gan lớn mật","SYM cxđ. d. d."
"ꪚꪲ꪿ ꪔꪱ","banh mắt","đg. d."
"ꪶꪎꪚ ꪚꪲ꪿","hở môi","đg. đg."
"ꪜꪱꪀ ꪚꪱꪒ ꪚꪲ꪿ ꪵꪩꪉꪚ","vết thương hoác miệng","cxđ. đg."
"ꪵꪚ꪿ꪙ ꪚꪸ","bắn bia","đg. d."
"ꪚꪸ꪿ ꪊꪸ꫁","mảnh giấy","d. cxđ."
"ꪬ꫁ꪱ ꪚꪸ꫁ ꪹꪐ꪿","năm lạng thịt","cxđ. d. cxđ."
"ꪚꪸꪙ ꪋꪳ꪿ ꪻꪎ꪿ ꪶꪎ꫁","biên tên vào sổ","đg. p. cxđ. cxđ."
"ꪅꪺꪀ ꪚꪸ꪿ꪙ ꪹꪜꪸꪙ ꪶꪀꪚ","nòng nọc biến thành ếch","d. đg. t. d."
"ꪶꪚ꫁ꪉ ꪵꪣꪉ ꪚꪸ꪿ꪙ ꪬ꪿ꪫꪱ","côn trùng biến hóa","d. đg."
"ꪚꪸ꫁ꪙ ꪼꪡ꪿ ꪄꪮꪉ ꪶꪀꪉ","biển lận của công","đg. d. d."
"ꪶꪙ꫁ꪀ ꪚꪲꪙ","chim bay","cxđ. đg."
"ꪶꪙ꫁ꪀ ꪚꪲꪙ ꪮꪥꪱꪒ","chim bay la","cxđ. đg."
"* ꪚꪲꪉ ꪀ꫁ꪱ ꪹꪔ꪿ꪉ ꪬꪱꪙ","binh hùng tướng mạnh","SYM d. đg. cxđ."
"ꪚꪲꪉ ꪹꪎ꫁","khoác áo; choàng áo","d. d."
"ꪎꪷ ꪊꪴ꪿ꪀ ꪛꪲꪉ ꪮꪱꪙ","xin chúc bình an","cxđ. cxđ. t."
"ꪚ꫁ꪱꪙ ꪄ꪿ꪺꪉ ꪛꪲꪉ ꪮꪸꪙ","bản làng bình yên","d. t."
"ꪚꪲꪚ ꪁꪷ","bóp cổ","đg. d."
"ꪚꪲꪚ ꪢꪱꪀ ꪩꪲꪫ","vắt quả chanh","đg. cxđ."
"ꪚꪲꪒ ꪖ꪿ꪮꪉ","bẻ đôi","đg. cxđ."
"ꪜꪴꪣ ꪹꪊꪸꪚ ꪚꪲꪒ","quặn đau bụng","cxđ. cxđ. đg."
"ꪚꪲꪒ ꪵꪎ ꪼꪜ ꪕꪱꪉ ꪄꪫꪱ","lái xe về bên phải","đg. đg. cxđ. đg."
"ꪚꪲꪒ ꪵꪓꪙ ꪝꪲ꪿ꪙ","bấm đèn pin","đg. cxđ."
"ꪠꪱ ꪢꪷ꫁ ꪚꪲꪒ ꪵꪚ꫁ꪫ","vung nồi méo mó","cxđ. d. t."
"ꪜꪸ꪿ꪉ ꪵꪜ꫁ꪙ ꪚꪲꪒ ꪹꪚ꫁ꪣ","tấm ván vênh","cxđ. cxđ. t."
"ꪚꪲꪒ ꪩ꫁ꪱꪫ ꪵꪎ ꪹꪨꪸ꪿ꪀ ꪮꪮꪀ","vặn mạnh cái đinh ra","đg. đg. d. đg."
"ꪚꪲꪒ ꪩꪲ꫁ꪫ ꪙ꪿ꪱꪉ ꪹꪋꪀ","xoắn đầu dây","đg. đg. cxđ."
"ꪚꪲꪒ ꪉ꫁ꪱꪙ ꪔ꪿ꪮꪙ ꪵꪚ꪿ꪉ","bửa chiếc bánh","đg. cxđ. d."
"ꪚꪲꪒ ꪝꪴ꪿ꪉ ꪵꪓꪙ ꪒꪸ꫁ꪙ ꪻꪎ꪿ ꪘ꫁ꪱ","ló đèn điện vào mặt","đg. cxđ. cxđ. đg."
"ꪶꪔꪚ ꪣꪳ ꪛꪩꪱꪒ ꪛꪩꪱꪒ","vỗ tay ầm ầm","cxđ. t."
"ꪠ꪿ꪱꪫ ꪵꪔꪀ ꪛꪩꪱꪒ ꪛꪩꪱꪒ","pháo nổ đùng đùng","đg. cxđ. t."
"ꪁꪫꪱꪣ ꪹꪛꪸꪩ꪿ ꪛꪩ꪿ꪱ","chuyện tào lao","đg. t."
"ꪭꪱꪀ ꪛ꫁ꪩꪮꪀ ꪮꪮꪀ","nôn ọe ra","cxđ. UNK đg."
"ꪙꪾ꫁ ꪛꪩ꫁ꪮꪀ ꪮꪮꪀ","nước ộc ra","đg. đg. đg."
"ꪼꪣ꫁ ꪵꪔꪀ ꪶꪚꪨꪚ ꪶꪚꪨꪚ","tre nổ đôm đốp","d. cxđ. t."
"ꪓ꫁ꪮꪀ ꪛꪱꪥ ꪶꪛꪩꪚ ꪶꪛꪩꪚ","đọc bài vanh vách","cxđ. d. t."
"ꪄꪰꪒ ꪵꪄ꫁ꪫ ꪚꪨꪴꪚ ꪚꪨꪴꪚ","nghiến răng ken két","đg. t."
"ꪎꪸꪉ ꪶꪩ꫁ꪣ ꪛꪩꪴꪚ ꪛꪩꪴꪚ","tiếng ngã uỵch","cxđ. cxđ. t."
"ꪚꪷ ꪚꪸ ꪵꪮꪚ ꪵꪚ꪿ꪙ","đặt bia tập bắn","đg. d. cxđ. đg."
"* ꪚꪷ ꪵꪒꪒ ꪚꪷ ꪶꪠꪙ","dầu mưa dãi nắng","SYM đg. đg. đg. cxđ."
"ꪚꪷ ꪶꪩꪣ","hóng gió","đg. d."
"ꫛ ꪶꪔ꪿ꪀ ꪩꪱꪒ ꪚꪷ ꪼꪜ","vô khối người họp chợ","d. cxđ. đg. đg. cxđ."
"ꫛ ꪋ꪿ꪽ ꪚꪷ ꪥꪷ","người đẹp tuyệt sắc","d. t. t."
"ꪑꪲꪉ ꪕ꪿ꪮꪥ ꪚꪷ ꪶꪮ꪿ꪉ ꪵꪚ꪿ꪙ","ngắm theo đầu ruồi mà bắn","cxđ. cxđ. đg. đg."
"ꪘꪷ꪿ ꪮꪮꪀ ꪚꪷ ꪏꪮꪙ","măng mọc vô khối","cxđ. đg. t."
"ꪚꪷ꪿ ꪙꪾ꫁","mó nước; nguồn nước","d. đg."
"ꪚꪷ꪿ ꪖ꪿ꪱꪙ","mỏ than","d. cxđ."
"ꪚꪷ꪿ ꪹꪄ꫁ꪱ","vựa thóc","d. đg."
"ꪚꪷ꫁ ꪻꪎ꪿ ꪝꪲ꪿ ꪙ꫁ꪮꪉ","kể công với anh em","đg. cxđ. cxđ."
"ꪎꪮꪉ ꫛ ꪚꪷ꫁ ꪼꪄ꫁ ꪀꪽ","hai người bới móc nhau","đg. d. đg. d."
"ꪚꪷ꫁ ꪵꪪ꪿ꪉ ꫛ ꪹꪎꪉ","ruồng bỏ người thương","đg. d. đg."
"ꪀꪲꪙ ꪛ꪿ꪮꪥ ꪛ꪿ꪮꪥ","ăn nhem nhẻm","d. t."
"ꪘ꫁ꪱ ꪄꪱꪫ ꪡꪮꪉ ꪹꪁꪷ꪿ ꪚꪮꪀ","mặt tươi như hoa","đg. t. t. đg."
"ꪚꪮꪀ ꪀꪽ ꪹꪥꪸꪒ ꪫꪸꪀ","bảo nhau làm việc","đg. d. cxđ."
"* ꪚꪮꪀ ꪩꪴꪀ ꪎꪮꪙ ꪨꪱꪙ","dạy bảo con cháu","SYM đg. cxđ. đg. cxđ."
"* ꪩꪴꪀ ꪚꪮꪀ ꪥꪱꪀ ꪝꪷ꪿ ꪵꪣ꪿ ꪜꪱꪀ ꪼꪒ꫁","con khó bảo cha mẹ phải nói nhiều","SYM cxđ. t. cxđ. cxđ."
"ꪩꪴꪀ ꪨꪱꪙ ꪚꪮꪀ ꪉ꪿ꪱꪥ","con cháu dễ bảo","cxđ. t."
"ꪙ꫁ꪮꪉ ꪙ꫁ꪮꪥ ꪚꪮꪀ ꪡꪰꪉ","em bé ngoan","d. d. t."
"ꪚꪮꪀ ꪎꪮꪙ ꪩꪴꪀ ꪨꪱꪙ","bảo ban con cháu","đg. cxđ."
"ꪚꪮꪀ ꪎꪳ ꪘꪰ꫁ꪉ ꪒꪲꪙ ꪝꪴ","dạy học ở miền núi","đg. cxđ. cxđ."
"ꪒꪰꪉ ꪚꪮꪀ","mũi khoằm; mũi hin","d. đg."
"ꪚꪮꪣ ꪵꪔꪀ","bom nổ","d. cxđ."
"ꪫꪸꪀ ꪚ꪿ꪮꪣ ꪤꪸꪉ","chuyệ riêng tư","d. t."
"ꪹꪥꪸꪒ ꪀꪲꪙ ꪚ꪿ꪮꪣ ꪤꪸꪉ","làm ăn riêng lẻ; làm ăn cá thể","cxđ. d. t."
"ꪔꪰꪒ ꪼꪣ꫁ ꪹꪥꪸꪒ ꪬ꫁ꪱ ꪚ꫁ꪮꪣ","chặt cây làm năm khúc","cxđ. d. cxđ. cxđ. d."
"ꪚ꫁ꪮꪣ ꪠ꫁ꪱꪥ ꪩꪮꪙ","súc vải hoa","d. d. p."
"ꪭꪲꪣ ꪶꪎꪚ ꪚ꫁ꪮꪣ ꪵꪚ꫁ꪣ","môi mấp máy","cxđ. đg."
"ꪚꪮꪙ ꪹꪎꪱ ꪹꪭꪙ","vạc cột nhà","đg. cxđ. d."
"ꪚꪮꪙ ꪫꪸꪀ","khêu chuyện","đg. d."
"ꪚ꪿ꪮꪙ ꪙꪰ꪿ꪉ","chỗ ngồi","d. cxđ."
"ꪚ꫁ꪮꪙ ꪢꪱꪀ ꪖ꪿ꪺ ꪒꪮꪀ","bóc vỏ lạc","đg. cxđ. cxđ."
"ꪚ꫁ꪮꪙ ꪹꪄ꫁ꪱ ꪩꪲ","tẽ ngô","đg. đg. d."
"ꪚ꫁ꪮꪙ ꪚꪲ꪿ ꪣꪱꪙ ꪹꪄ꫁ꪱ ꪩꪲ","lẩy bắp","đg. cxđ. đg. d."
"ꪚ꫁ꪮꪙ ꪚꪲ꪿ ꪮꪮꪀ ꪄ꪿ꪮꪥ ꪚ꪿ꪮꪙ ꪨꪱꪥ ꫛ","luồn lách ra khỏi đám đông","đg. đg. đg. d. cxđ. d."
